subject,grades,hours
Human Right,b,2
Math-1,b,3
Technical Report Writing,a,2
Electronics,b,3
Fundamentals of Computer Science,b+,3
Discrete Mathmatics,c+,3
Probability and Statistics-1,a,3
Structured Programming,c+,3
Math-2,b+,3
